bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,created_at,updated_at,created_by,updated_by,status,comments
,Research on object recognition using bag of word model for mobile robot navigation,J.-F. Yang and K. Wang and M.-A. Li and L. Liu,,2011,IEEE Abstract,1735--1740,,"Robust long term positioning for autonomous mobile robots is essential for many applications. Key to a successful visual SLAM system is correctly recognizing the objects and labeling where the robot is. Local image features are popular with constructing object recognition system, which are invariant to image scaling, translation, rotation, and partially invariant to illumination changes and affine. In this paper, we proposed an object recognition method based on the bag of word model, mainly idea includes three steps as follows: firstly, a set of local image patches are sampled using a key point detector, and each patch is a descriptor based on scale invariant feature transform. Then outliers are removed by RANSAC algorithm, and the resulting distribution of descriptors is quantified by using vector quantization against a pre-specified codebook to convert it to a histogram of votes for codebook centers. Finally, a KNN algorithm is used to classify images through the resulting global descriptor vector. The experimental results show that our proposed method has a better performance against the previous methods.",,10.1109/ICMA.2011.5986295,,,,Feature extraction;Object recognition;Computational modeling;Training;Databases;Testing;Visualization;scale invariant feature transform (SIFT);bag of word (BOW);object recognition;robot navigation,,2152-744X,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,Integration of Monte Carlo Localization and place recognition for reliable long-term robot localization,J. Pérez and F. Caballero and L. Merino,,2014,IEEE Abstract,85--91,,"This paper proposes extending Monte Carlo Localization methods with visual information in order to build a long term robot localization system. This system is aimed to work in crowded and non-planar scenarios, where 2D laser rangefinders may not always be enough to match the robot position with the map. Thus, visual place recognition will be used in order to obtain robot position clues that can be used to detect when the robot is lost and also to reset its positions to the right one. The paper presents experimental results based on datasets gathered with a real robot in challenging scenarios.",,10.1109/ICARSC.2014.6849767,,,,Robot sensing systems;Semiconductor lasers;Robot kinematics;Trajectory;Navigation,,,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,Simultaneous Localization and Mapping for Inspection Robots in Water and Sewer Pipe Networks: A Review,J. M. Aitken and M. H. Evans and R. Worley and S. Edwards and R. Zhang and T. Dodd and L. Mihaylova and S. R. Anderson,IEEE Access,2021,IEEE Abstract,140173--140198,9,"At the present time, water and sewer pipe networks are predominantly inspected manually. In the near future, smart cities will perform intelligent autonomous monitoring of buried pipe networks, using teams of small robots. These robots, equipped with all necessary computational facilities and sensors (optical, acoustic, inertial, thermal, pressure and others) will be able to inspect pipes whilst navigating, self-localising and communicating information about the pipe condition and faults such as leaks or blockages to human operators for monitoring and decision support. The predominantly manual inspection of pipe networks will be replaced with teams of autonomous inspection robots that can operate for long periods of time over a large spatial scale. Reliable autonomous navigation and reporting of faults at this scale requires effective localization and mapping, which is the estimation of the robot’s position and its surrounding environment. This survey presents an overview of state-of-the-art works on robot simultaneous localization and mapping (SLAM) with a focus on water and sewer pipe networks. It considers various aspects of the SLAM problem in pipes, from the motivation, to the water industry requirements, modern SLAM methods, map-types and sensors suited to pipes. Future challenges such as robustness for long term robot operation in pipes are discussed, including how making use of prior knowledge, e.g. geographic information systems (GIS) can be used to build map estimates, and improve multi-robot SLAM in the pipe environment.",,10.1109/ACCESS.2021.3115981,,,,Simultaneous localization and mapping;Robots;Sensors;Inspection;Service robots;Water resources;Location awareness;Water;sewer;network;pipe networks;robots;SLAM;data fusion;Bayesian estimation;visual odometry;laser and lidar scanning,,2169-3536,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,Weighted Grid Partitioning for Panel-Based Bathymetric SLAM,J. Jang and J. Kim,,2019,IEEE Abstract,1--6,,"Bathymetric navigation enables the long-term operation of autonomous underwater vehicles by reducing navigation drift errors with no need for GPS position fixes. In the case that a bathymetric map is not available, the simultaneous localization and mapping (SLAM) algorithm is required, but this increases computational complexity and memory requirement. Panel-based bathymetric SLAM could considerably reduce the computational burden. However, it may suffers from incorrect update when the vehicle does not belong to the updated panel. This study proposes a new update method, called weighted grid partitioning, which considers the probability distribution of a vehicle's location, and is more effective in terms of the map accuracy, computational burden, and memory usage compared to standard update methods. The feasibility of the proposed algorithm is verified through simulations.",,10.1109/OCEANSE.2019.8867531,,,,Simultaneous localization and mapping;Navigation;Probability distribution;Signal processing algorithms;Measurement uncertainty;Uncertainty;Predictive models,,,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,Simultaneous map building and localization for an autonomous mobile robot,J. J. Leonard and H. F. Durrant-Whyte,,1991,IEEE Abstract,1442--1447vol.3,,"Discusses a significant open problem in mobile robotics: simultaneous map building and localization, which the authors define as long-term globally referenced position estimation without a priori information. This problem is difficult because of the following paradox: to move precisely, a mobile robot must have an accurate environment map; however, to build an accurate map, the mobile robot's sensing locations must be known precisely. In this way, simultaneous map building and localization can be seen to present a question of 'which came first, the chicken or the egg?' (The map or the motion?) When using ultrasonic sensing, to overcome this issue the authors equip the vehicle with multiple servo-mounted sonar sensors, to provide a means in which a subset of environment features can be precisely learned from the robot's initial location and subsequently tracked to provide precise positioning.<>",,10.1109/IROS.1991.174711,,,,Mobile robots;Vehicles;Sonar navigation;Robot sensing systems;Stochastic resonance;Sensor phenomena and characterization;Target tracking;Testing;National electric code;Humans,,,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,PERSES-a vision-based interactive mobile shopping assistant,H.-M. Gross and H.-J. Boehme,,2000,IEEE Abstract,80--85vol.1,1,"The paper describes the general idea, the application scenario, and selected methodological approaches of our long term research project PERSES (PERsonal SErvice System). The aim of the project consists of the development of an interactive mobile shopping assistant that allows a continuous and intuitively understandable interaction with a customer in a home improvement store. Typical tasks we have to tackle are to detect and contact potential users in the operation area, to guide them to desired areas or articles within the store or to follow them as a mobile information kiosk while continuously observing their behavior. Due to the specificity of the interaction-oriented scenario and the characteristics of the operation area, we have focused on vision based methods for both human-robot interaction and robot navigation. Besides some methodological approaches, we present preliminary results of experiments achieved with our mobile robot PERSES in the store with an emphasis on vision based methods for user localization, map building and self-localization.",,10.1109/ICSMC.2000.884968,,,,Navigation;Robot vision systems;Mobile robots;Robustness;Robot kinematics;Human robot interaction;Adaptation model;Context modeling;Programmable control;Adaptive control,,1062-922X,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,Radar-on-Lidar: metric radar localization on prior lidar maps,H. Yin and Y. Wang and L. Tang and R. Xiong,,2020,IEEE Abstract,1--7,,"Radar and lidar, provided by two different range sensors, each has pros and cons of various perception tasks on mobile robots or autonomous driving. In this paper, a Monte Carlo system is used to localize the robot with a rotating radar sensor on 2D lidar maps. We first train a conditional generative adversarial network to transfer raw radar data to lidar data, and achieve reliable radar points from generator. Then an efficient radar odometry is included in the Monte Carlo system. Combining the initial guess from odometry, a measurement model is proposed to match the radar data and prior lidar maps for final 2D positioning. We demonstrate the effectiveness of the proposed localization framework on the public multisession dataset. The experimental results show that our system can achieve high accuracy for long-term localization in outdoor scenes.",,10.1109/RCAR49640.2020.9303291,,,,Laser radar;Radar;Sensors;Radar imaging;Robots;Three-dimensional displays;Two dimensional displays,,,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,Incorporating environmental measurements in navigation,H. J. S. Feder and J. J. Leonard and C. M. Smith,,1998,IEEE Abstract,115--122,,"Extended missions in unknown regions present a significant navigational challenge for autonomous underwater vehicles (AUV). This paper investigates the long-term performance of a concurrent mapping and localization (CML) algorithm for the scenario of an AUV making observations of point features in the environment with a forward look sonar. Simulation results demonstrate that position estimates with long-term bounded errors of a few meters can be achieved under realistic assumptions about the vehicle, its sensors, and the environment. Potential failure modes of the algorithm, such as divergence and map slip, are discussed. CML technology can provide a significant improvement in the navigational capabilities of AUVs and can enable new missions in unmapped regions without reliance on acoustic beacons or surfacing for GPS resets.",,10.1109/AUV.1998.744447,,,,Sonar navigation;Remotely operated vehicles;Underwater acoustics;Performance analysis;Stochastic processes;Sea measurements;Jacobian matrices;Oceans;Automotive engineering;Marine technology,,,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,Visual topometric localization,H. Badino and D. Huber and T. Kanade,,2011,IEEE Abstract,794--799,,"One of the fundamental requirements of an autonomous vehicle is the ability to determine its location on a map. Frequently, solutions to this localization problem rely on GPS information or use expensive three dimensional (3D) sensors. In this paper, we describe a method for long-term vehicle localization based on visual features alone. Our approach utilizes a combination of topological and metric mapping, which we call topometric localization, to encode the coarse topology of the route as well as detailed metric information required for accurate localization. A topometric map is created by driving the route once and recording a database of visual features. The vehicle then localizes by matching features to this database at runtime. Since individual feature matches are unreliable, we employ a discrete Bayes filter to estimate the most likely vehicle position using evidence from a sequence of images along the route. We illustrate the approach using an 8.8 km route through an urban and suburban environment. The method achieves an average localization error of 2.7 m over this route, with isolated worst case errors on the order of 10 m.",,10.1109/IVS.2011.5940504,,,,Vehicles;Visualization;Measurement;Databases;Feature extraction;Global Positioning System;Probability density function,,1931-0587,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,Towards life-long mapping of dynamic environments using temporal persistence modeling,G. Tsamis and I. Kostavelis and D. Giakoumis and D. Tzovaras,,2021,IEEE Abstract,10480--10485,,"The contemporary SLAM mapping systems assume a static environment and build a map that is then used for mobile robot navigation disregarding the dynamic changes in this environment. The paper at hand presents a novel solution for the problem of life-long mapping that continually updates a metric map represented as a 2D occupancy grid in large scale indoor environments with movable objects such as people, robots, objects etc. suitable for industrial applications. We formalize each cell's occupancy as a failure analysis problem and contribute temporal persistence modeling (TPM), an algorithm for probabilistic prediction of the time that a cell in an observed location is expected to be “occupied” or “empty” given sparse prior observations from a task specific mobile robot. Our work is evaluated in Gazebo simulation environment against the nominal occupancy of cells and the estimated obstacles persistence. We also show that robot navigation with life-long mapping demands less replans and leads to more efficient navigation in highly dynamic environments.",,10.1109/ICPR48806.2021.9413161,,,,Measurement;Simultaneous localization and mapping;Navigation;Service robots;Predictive models;Probabilistic logic;Prediction algorithms,,1051-4651,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,Lightweight SLAM with automatic orientation correction using 2D LiDAR scans,G. Péter and B. Kiss,,2020,IEEE Abstract,1--6,,"Simultaneous localization and mapping (SLAM) is about consistent maps in the long run. Loop closing is the most popular way for ensure long-term consistency in presence of multiple measurements by the same or multiple robots. Loop closure can be executed using raw odometrical data, but a more sophisticated, yet still light-weight method is presented in this paper: a landmark descriptor-based relative displacement calculation method for diminishing unwanted orientation errors that otherwise often lead to map inconsistency. Landmark descriptors are created using light detection and ranging (LiDAR) scans and the relation is calculated using scan-matching. The novelty of this research is a method providing long-term orientation and position correction without additional overhead between landmark detections, thus enabling simple agents to do the SLAM in a cooperative way.",,10.1109/ISMCR51255.2020.9263722,,,,Manganese;SLAM;LiDAR;mapping;orientation;correction;uncertainty,,,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,Long-term 3D map maintenance in dynamic environments,F. Pomerleau and P. Krüsi and F. Colas and P. Furgale and R. Siegwart,,2014,IEEE Abstract,3712--3719,,"New applications of mobile robotics in dynamic urban areas require more than the single-session geometric maps that have dominated simultaneous localization and mapping (SLAM) research to date; maps must be updated as the environment changes and include a semantic layer (such as road network information) to aid motion planning in dynamic environments. We present an algorithm for long-term localization and mapping in real time using a three-dimensional (3D) laser scanner. The system infers the static or dynamic state of each 3D point in the environment based on repeated observations. The velocity of each dynamic point is estimated without requiring object models or explicit clustering of the points. At any time, the system is able to produce a most-likely representation of underlying static scene geometry. By storing the time history of velocities, we can infer the dominant motion patterns within the map. The result is an online mapping and localization system specifically designed to enable long-term autonomy within highly dynamic environments. We validate the approach using data collected around the campus of ETH Zurich over seven months and several kilometers of navigation. To the best of our knowledge, this is the first work to unify long-term map update with tracking of dynamic objects.",,10.1109/ICRA.2014.6907397,,,,Three-dimensional displays;Dynamics;Simultaneous localization and mapping;Heuristic algorithms;Laser modes;Long-term mapping;dynamic obstacles;ICP;kd-tree;registration;scan matching;robot;SLAM,,1050-4729,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,SRAL: Shared Representative Appearance Learning for Long-Term Visual Place Recognition,F. Han and X. Yang and Y. Deng and M. Rentschler and D. Yang and H. Zhang,IEEE Robotics and Automation Letters,2017,IEEE Abstract,1172--1179,2,"Place recognition, or loop closure detection, is an essential component to address the problem of visual simultaneous localization and mapping (SLAM). Long-term navigation of robots in outdoor environments introduces new challenges to enable life-long SLAM, including the strong appearance change resulting from vegetation, weather, and illumination variations across various times of the day, different days, months, or even seasons. In this paper, we propose a new shared representative appearance learning (SRAL) approach to address long-term visual place recognition. Different from previous methods using a single feature modality or a concatenation of multiple features, our SRAL method autonomously learns representative features that are shared in all scene scenarios, and then fuses the features together to represent the long-term appearance of environments observed by a robot during life-long navigation. By formulating SRAL as a regularized optimization problem, we use structured sparsity-inducing norms to model interrelationships of feature modalities. In addition, an optimization algorithm is developed to efficiently solve the formulated optimization problem, which holds a theoretical convergence guarantee. Extensive empirical study was performed to evaluate the SRAL method using large-scale benchmark datasets, including St Lucia, CMU-VL, and Nordland datasets. Experimental results have shown that our SRAL method obtains superior performance for life-long place recognition using individual images, outperforms previous single image-based methods, and is capable of estimating the importance of feature modalities.",,10.1109/LRA.2017.2662061,,,,Visualization;Image recognition;Feature extraction;Simultaneous localization and mapping;Optimization;Navigation;Loop closure detection;long-term place recognition;simultaneous localization and mapping (SLAM);visual learning,,2377-3766,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,Robust Place Recognition and Loop Closing in Laser-Based SLAM for UGVs in Urban Environments,F. Cao and Y. Zhuang and H. Zhang and W. Wang,IEEE Sensors Journal,2018,IEEE Abstract,4242--4252,18,"Robust place recognition plays a key role for the long-term autonomy of unmanned ground vehicles (UGVs) working in indoor or outdoor environments. Although most of the state-of-the-art that approaches for place recognition are vision-based, visual sensors lack adaptability in environments with poor or dynamically changing illumination. In this paper, a 3-D-laser-based place recognition algorithm is proposed to accomplish loop closure detection for simultaneous localization and mapping. An image model named bearing angle (BA) is adopted to convert 3-D laser points to 2-D images, and then ORB features extracted from BA images are utilized to perform scene matching. Since the computational cost for matching a query BA image with all the BA images in a database is too high to meet the requirement of performing real-time place recognition, a visual bag of words approach is used to improve search efficiency. Furthermore, a speed normalization algorithm and a 3-D geometry-based verification algorithm are proposed to complete the proposed place recognition algorithm. Experiments were conducted on two self-developed UGV platforms to verify the performance of the proposed method.",,10.1109/JSEN.2018.2815956,,,,Three-dimensional displays;Lasers;Visualization;Feature extraction;Sensors;Robustness;Lighting;Laser scanning;place recognition;simultaneous localization and mapping (SLAM);unmanned ground vehicles (UGVs),,1558-1748,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,Optical flow localisation and appearance mapping (OFLAAM) for long-term navigation,D. Pastor-Moreno and H.-S. Shin and A. Waldock,,2015,IEEE Abstract,980--988,,"This paper presents a novel method to use optical flow navigation for long term navigation. Unlike standard SLAM approaches for augmented reality, OFLAAM is designed for Micro Air Vehicles (MAV). It uses a optical flow camera pointing downwards, a IMU and a monocular camera pointing frontwards. That configuration avoids the computational expensive mapping and tracking of the 3D features. It only maps these features in a vocabulary list by a localization module to tackle the optical flow drift and the lose of the navigation estimation. That module, based on the well established algorithm DBoW2, will be also used to close the loop and allow long-term navigation in previously visited areas. The combination of high speed optical flow navigation with a low rate localization algorithm allows fully autonomous navigation for MAV, at the same time it reduces the overall computational load. This framework is implemented in ROS (Robot Operating System) and tested attached to a laptop. A representative scenario is used to validate and analyze the performance of the system.",,10.1109/ICUAS.2015.7152387,,,,Cameras;Optical sensors;Optical imaging;Computers;Vehicles;Adaptive optics;High-speed optical techniques,,,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,Towards lifelong feature-based mapping in semi-static environments,D. M. Rosen and J. Mason and J. J. Leonard,,2016,IEEE Abstract,1063--1070,,"The feature-based graphical approach to robotic mapping provides a representationally rich and computationally efficient framework for an autonomous agent to learn a model of its environment. However, this formulation does not naturally support long-term autonomy because it lacks a notion of environmental change; in reality, “everything changes and nothing stands still, ” and any mapping and localization system that aims to support truly persistent autonomy must be similarly adaptive. To that end, in this paper we propose a novel feature-based model of environmental evolution over time. Our approach is based upon the development of an expressive probabilistic generative feature persistence model that describes the survival of abstract semi-static environmental features over time. We show that this model admits a recursive Bayesian estimator, the persistence filter, that provides an exact online method for computing, at each moment in time, an explicit Bayesian belief over the persistence of each feature in the environment. By incorporating this feature persistence estimation into current state-of-the-art graphical mapping techniques, we obtain a flexible, computationally efficient, and information-theoretically rigorous framework for lifelong environmental modeling in an ever-changing world.",,10.1109/ICRA.2016.7487237,,,,Feature extraction;Detectors;Computational modeling;Adaptation models;Simultaneous localization and mapping;Bayes methods,,,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,SLAMinDB: Centralized graph databases for mobile robotics,D. Fourie and S. Claassens and S. Pillai and R. Mata and J. Leonard,,2017,IEEE Abstract,6331--6337,,"Robotic systems typically require memory recall mechanisms for a variety of tasks including localization, mapping, planning, visualization etc. We argue for a novel memory recall framework that enables more complex inference schemas by separating the computation from its associated data. In this work we propose a shared, centralized data persistence layer that maintains an ensemble of online, situationally-aware robot states. This is realized through a queryable graph-database with an accompanying key-value store for larger data. In turn, this approach is scalable and enables a multitude of capabilities such as experience-based learning and long-term autonomy. Using multi-modal simultaneous localization and mapping and a few example use-cases, we demonstrate the versatility and extensible nature that centralized persistence and SLAMinDB can provide. In order to support the notion of life-long autonomy, we envision robots to be endowed with such a persistence model, enabling them to revisit previous experiences and improve upon their existing task-specific capabilities.",,10.1109/ICRA.2017.7989749,,,,Simultaneous localization and mapping;Computer architecture;Relational databases;Navigation,,,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,Learning by Inertia: Self-supervised Monocular Visual Odometry for Road Vehicles,C. Wang and Y. Yuan and Q. Wang,,2019,IEEE Abstract,2252--2256,,"In this paper, we present iDVO (inertia-embedded deep visual odometry), a self-supervised learning based monocular visual odometry (VO) for road vehicles. When modelling the geometric consistency within adjacent frames, most deep VO methods ignore the temporal continuity of the camera pose, which results in a very severe jagged fluctuation in the velocity curves. With the observation that road vehicles tend to perform smooth dynamic characteristics in most of the time, we design the inertia loss function to describe the abnormal motion variation, which assists the model to learn the consecutiveness from long-term camera ego-motion. Based on the recurrent convolutional neural network (RCNN) architecture, our method implicitly models the dynamics of road vehicles and the temporal consecutiveness by the extended Long Short-Term Memory (LSTM) block. Furthermore, we develop the dynamic hard-edge mask to handle the non-consistency in fast camera motion by blocking the boundary part and which generates more efficiency in the whole non-consistency mask. The proposed method is evaluated on the KITTI dataset, and the results demonstrate state-of-the-art performance with respect to other monocular deep VO and SLAM approaches.",,10.1109/ICASSP.2019.8683446,,,,Inertia;Self-supervised Learning;Visual Odometry;RCNN,,2379-190X,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,"Work smart, not hard: Recalling relevant experiences for vast-scale but time-constrained localisation",C. Linegar and W. Churchill and P. Newman,,2015,IEEE Abstract,90--97,,"This paper is about life-long vast-scale localisation in spite of changes in weather, lighting and scene structure. Building upon our previous work in Experience-based Navigation [1], we continually grow and curate a visual map of the world that explicitly supports multiple representations of the same place. We refer to these representations as experiences, where a single experience captures the appearance of an environment under certain conditions. Pedagogically, an experience can be thought of as a visual memory. By accumulating experiences we are able to handle cyclic appearance change (diurnal lighting, seasonal changes, and extreme weather conditions) and also adapt to slow structural change. This strategy, although elegant and effective, poses a new challenge: In a region with many stored representations - which one(s) should we try to localise against given finite computational resources? By learning from our previous use of the experience-map, we can make predictions about which memories we should consider next, conditioned on how the robot is currently localised in the experience-map. During localisation, we prioritise the loading of past experiences in order to minimise the expected computation required. We do this in a probabilistic way and show that this memory policy significantly improves localisation efficiency, enabling long-term autonomy on robots with limited computational resources. We demonstrate and evaluate our system over three challenging datasets, totalling 206km of outdoor travel. We demonstrate the system in a diverse range of lighting and weather conditions, scene clutter, camera occlusions, and permanent structural change in the environment.",,10.1109/ICRA.2015.7138985,,,,Robots;Visualization;Cameras;Trajectory;Meteorology;Lighting;Navigation,,1050-4729,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,"Past, Present, and Future of Simultaneous Localization and Mapping: Toward the Robust-Perception Age",C. Cadena and L. Carlone and H. Carrillo and Y. Latif and D. Scaramuzza and J. Neira and I. Reid and J. J. Leonard,IEEE Transactions on Robotics,2016,IEEE Abstract,1309--1332,32,"Simultaneous localization and mapping (SLAM) consists in the concurrent construction of a model of the environment (the map), and the estimation of the state of the robot moving within it. The SLAM community has made astonishing progress over the last 30 years, enabling large-scale real-world applications and witnessing a steady transition of this technology to industry. We survey the current state of SLAM and consider future directions. We start by presenting what is now the de-facto standard formulation for SLAM. We then review related work, covering a broad set of topics including robustness and scalability in long-term mapping, metric and semantic representations for mapping, theoretical performance guarantees, active SLAM and exploration, and other new frontiers. This paper simultaneously serves as a position paper and tutorial to those who are users of SLAM. By looking at the published research with a critical eye, we delineate open challenges and new research issues, that still deserve careful scientific investigation. The paper also contains the authors' take on two questions that often animate discussions during robotics conferences: Do robots need SLAM? and Is SLAM solved?",,10.1109/TRO.2016.2624754,,,,Graph theory;Simultaneous location and mapping;Service robots;Robustness;Localization;Factor graphs;localization;mapping;maximum a posteriori estimation;perception;robots;sensing;simultaneous localization and mapping (SLAM),,1941-0468,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,Using UHF-RFID Signals for Robot Localization Inside Pipelines,A. Gunatilake and M. Galea and K. Thiyagarajan and S. Kodagoda and L. Piyathilaka and P. Darji,,2021,IEEE Abstract,1109--1114,,"Underground water pipes are important to any country's infrastructure. Overtime, the metallic pipes are prone to corrosion, which can lead to water leakage and pipe bursts. In order to prolong the service life of those assets, water utilities in Australia apply protective pipe linings. Long-term monitoring and timely intervention are crucial for maintaining those lining assets. However, the water utilities do not possess the comprehensive technology to achieve it. The main reasons for lacking such technology are the unavailability of sensors and accurate robot localization technologies. Feature based localization methods such as SLAM has limited use as the application of liners alters the features and the environment. Encoder based localization is not accurate enough to observe the evolution of defects over a long period of time requiring unique defect correspondence. This motivates us to explore accurate contact-less and wireless based localization methods. We propose a cost-effective localization method using UHF-RFID signals for robot localization inside pipelines based on Gaussian process combined particle filter. Experiments carried out in field extracted pipe samples from the Sydney water pipe network show that using the RSSI and Phase data together in the measurement model with particle filter algorithm improves the localization accuracy up to 15 centimeters precision.",,10.1109/ICIEA51954.2021.9516284,,,,Location awareness;Wireless communication;Wireless sensor networks;Simultaneous localization and mapping;Phase measurement;Service robots;Pipelines;infrastructure robotics;linings;localization;particle filter;pipes;robotics for smart cities;RFID;robotic inspections;UHF-RFID,,2158-2297,,,,44698.62116,44698.62116,sousarbarb,,Duplicated,
,Generic Node Removal for Factor-Graph SLAM,N. Carlevaris-Bianco and M. Kaess and R. M. Eustice,IEEE Transactions on Robotics,2014,IEEE Index Terms,1371--1385,30,"This paper reports on a generic factor-based method for node removal in factor-graph simultaneous localization and mapping (SLAM), which we call generic linear constraints (GLCs). The need for a generic node removal tool is motivated by long-term SLAM applications, whereby nodes are removed in order to control the computational cost of graph optimization. GLC is able to produce a new set of linearized factors over the elimination clique that can represent either the true marginalization (i.e., dense GLC) or a sparse approximation of the true marginalization using a ChowLiu tree (i.e., sparse GLC). The proposed algorithm improves upon commonly used methods in two key ways: First, it is not limited to graphs with strictly full-state relative-pose factors and works equally well with other low-rank factors, such as those produced by monocular vision. Second, the new factors are produced in such a way that accounts for measurement correlation, which is a problem encountered in other methods that rely strictly upon pairwise measurement composition. We evaluate the proposed method over multiple real-world SLAM graphs and show that it outperforms other recently proposed methods in terms of Kullback-Leibler divergence. Additionally, we experimentally demonstrate that the proposed GLC method provides a principled and flexible tool to control the computational complexity of long-term graph SLAM, with results shown for 34.9 h of real-world indoor-outdoor data covering 147.4 km collected over 27 mapping sessions spanning a period of 15 months.",,10.1109/TRO.2014.2347571,,,,Simultaneous localization and mapping;Optimization;Approximation methods;Correlation;Mobile robots;Factor-graphs;long-term autonomy;marginalization;mobile robotics;simultaneous localization and mapping (SLAM);Factor-graphs;long-term autonomy;marginalization;mobile robotics;simultaneous localization and mapping (SLAM),,1941-0468,,,,44698.62163,44698.62421,sousarbarb,,Duplicated,
,Geometry-based Graph Pruning for Lifelong SLAM,G. Kurz and M. Holoch and P. Biber,,2021,IEEE Index Terms,3313--3320,,"Lifelong SLAM considers long-term operation of a robot where already mapped locations are revisited many times in changing environments. As a result, traditional graph-based SLAM approaches eventually become extremely slow due to the continuous growth of the graph and the loss of sparsity. Both problems can be addressed by a graph pruning algorithm. It carefully removes vertices and edges to keep the graph size reasonable while preserving the information needed to provide good SLAM results. We propose a novel method that considers geometric criteria for choosing the vertices to be pruned. It is efficient, easy to implement, and leads to a graph with evenly spread vertices that remain part of the robot trajectory. Furthermore, we present a novel approach of marginalization that is more robust to wrong loop closures than existing methods. The proposed algorithm is evaluated on two publicly available real-world long-term datasets and compared to the unpruned case as well as ground truth. We show that even on a long dataset (25h), our approach manages to keep the graph sparse and the speed high while still providing good accuracy (40 times speed up, 6cm map error compared to unpruned case).",,10.1109/IROS51168.2021.9636530,,,,Simultaneous localization and mapping;Three-dimensional displays;Costs;Density functional theory;Trajectory;Standards;Intelligent robots,,2153-0866,,,,44698.62163,44698.62426,sousarbarb,,Duplicated,
,FreMEn: Frequency Map Enhancement for Long-Term Mobile Robot Autonomy in Changing Environments,T. Krajník and J. P. Fentanes and J. M. Santos and T. Duckett,IEEE Transactions on Robotics,2017,IEEE Index Terms,964--977,33,"We present a new approach to long-term mobile robot mapping in dynamic indoor environments. Unlike traditional world models that are tailored to represent static scenes, our approach explicitly models environmental dynamics. We assume that some of the hidden processes that influence the dynamic environment states are periodic and model the uncertainty of the estimated state variables by their frequency spectra. The spectral model can represent arbitrary timescales of environment dynamics with low memory requirements. Transformation of the spectral model to the time domain allows for the prediction of the future environment states, which improves the robot's long-term performance in changing environments. Experiments performed over time periods of months to years demonstrate that the approach can efficiently represent large numbers of observations and reliably predict future environment states. The experiments indicate that the model's predictive capabilities improve mobile robot localization and navigation in changing environments.",,10.1109/TRO.2017.2665664,,,,Hidden Markov models;Mobile robots;Uncertainty;Robustness;Harmonic analysis;Navigation;Localization;long-term autonomy;mapping,,1941-0468,,,,44698.62163,44698.62414,sousarbarb,,Duplicated,
,ExMaps: Long-Term Localization in Dynamic Scenes using Exponential Decay,A. Rotsidis and C. Lutteroth and P. Hall and C. Richardt,,2021,IEEE Index Terms,2866--2875,,"Visual camera localization using offline maps is widespread in robotics and mobile applications. Most state-of-the-art localization approaches assume static scenes, so maps are often reconstructed once and then kept constant. However, many scenes are dynamic and as changes in the scene happen, future localization attempts may struggle or fail entirely. Therefore, it is important for successful long-term localization to update and maintain maps as new observations of the scene, and changes in it, arrive. We propose a novel method for automatically discovering which points in a map remain stable over time, and which are due to transient changes. To this end, we calculate a stability store for each point based on its visibility over time, weighted by an exponential decay over time. This allows us to consider the impact of time when scoring points, and to distinguish which points are useful for long-term localization. We evaluate our method on the CMU Extended Seasons dataset (outdoors) and a new indoor dataset of a retail shop, and show the benefit of maintaining a `live map' that integrates updates over time using our exponential decay based method over a static `base map'.",,10.1109/WACV48630.2021.00291,,,,Location awareness;Visualization;Computer vision;Conferences;Robot vision systems;Cameras;Mobile applications,,2642-9381,,,,44698.62163,44698.62412,sousarbarb,,Duplicated,
