Title,Accession number,Author,Author affiliation,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Publication date,Language,ISSN,ISBN,ISBN13,DOI,Conference name,Conference date,Conference location,CODEN,Country of publication,Document type,Link to ProQuest Dissertations,Abstract,Number of references,Controlled/Subject terms,Uncontrolled terms,Classification code,IPC code,Treatment,Discipline,Database,Copyright,Data Provider
"A continuously learning feature-based map using a bernoulli filtering approach","17413794","Stubler, M. (1); Reuter, S. (1); Dietmayer, K. (1) ","(1) Ulm University, Institute of Measurement, Control and Microtechnology, Germany ","2017 Sensor Data Fusion: Trends, Solutions, Applications (SDF)","","","IEEE","","","6 pp.","2017","English","","","","10.1109/SDF.2017.8126353","2017 Sensor Data Fusion: Trends, Solutions, Applications (SDF)","10-12 Oct. 2017","Bonn, Germany","","","Conference article (CA)","","One of the huge challenges of map-based localization is a rapidly changing environment. The present contribution addresses this problem by first constructing a new framework for feature-based long-term mapping using a Bernoulli filter. This framework is then applied to construct a continuously learning map. It is based on Simultaneous Localization and Mapping (SLAM) to create a short-term map which provides a momentary image of the environment during one mapping run. The proposed fusion algorithm then estimates the landmark map on a long-term basis by incorporating those short-term maps. Landmarks in the long-term map that reach a negligible spatial uncertainty can then be used again as a prior for the short-term mapping process. Since a Bernoulli filter can only handle a single object, independent groups of landmarks are constructed where only those with exactly one landmark are updated. As a result, landmarks that are part of the long-term map are quite distinct. By incorporating additional but probably outdated a priori information, the proposed method is able to restrict the inevitable error propagation of SLAM algorithms. The long-term mapping process is further distributable to several agents: every agent simultaneously localizes itself while it generates a new snapshot that is fused into the long-term map afterwards. An evaluation using real-world data completes this contribution.","16","filtering theory - learning (artificial intelligence) - mobile robots - sensor fusion - SLAM (robots)","long-term mapping process - Bernoulli filter - continuously learning map - mapping run - landmark map - long-term basis - short-term mapping process - SLAM algorithms","C3390C Mobile robots - C6170K Knowledge engineering techniques - C1140J Markov processes - C1160 Combinatorial mathematics","G05D1/00 - G06F15/18 - G06N5/04","New development (NEW); Practical (PRA); Theoretical or Mathematical (THR)","Computers/Control engineering (C)","Inspec","Copyright 2018, The Institution of Engineering and Technology","Engineering Village"
"Robust loop closing over time for pose graph SLAM","14728293","Latif, Y. (1); Cadena, C. (2); Neira, J. (1) ","(1) Universidad de Zaragoza, Instituto de Investigacion en Ingenieria de Aragon(I3A), Spain (2) George Mason University, Computer Science Department, Fairfax, VA, United States ","International Journal of Robotics Research","Int. J. Robot. Res. (USA)","","Sage Publications","32","14","1611-26","Dec. 2013","English","0278-3649","","","10.1177/0278364913498910","","","","IJRREL","USA","Journal article (JA)","","Long-term autonomous mobile robot operation requires considering place recognition decisions with great caution. A single incorrect decision that is not detected and reconsidered can corrupt the environment model that the robot is trying to build and maintain. This work describes a consensus-based approach to robust place recognition over time, that takes into account all the available information to detect and remove past incorrect loop closures. The main novelties of our work are: (1) the ability of realizing that, in light of new evidence, an incorrect past loop closing decision has been made; the incorrect information can be removed thus recovering the correct estimation with a novel algorithm; (2) extending our proposal to incremental operation; and (3) handling multi-session, spatially related or unrelated scenarios in a unified manner. We demonstrate our proposal, the RRR algorithm, on different odometry systems, e.g. visual or laser, using different front-end loop-closing techniques. For our experiments we use the efficient graph optimization framework g2o as back-end. We back our claims up with several experiments carried out on real data, in single and multi-session experiments showing better results than those obtained by state-of-the-art methods, comparisons against whom are also presented.","27","graph theory - mobile robots - optimisation - SLAM (robots)","pose graph SLAM - long term autonomous mobile robot operation - place recognition decisions - single incorrect decision - correct estimation - RRR algorithm - odometry systems - different front end loop closing techniques - graph optimization framework","C3390C Mobile robots - C1160 Combinatorial mathematics - C1180 Optimisation techniques","G05D1/00","Practical (PRA); Theoretical or Mathematical (THR)","Computers/Control engineering (C)","Inspec","Copyright 2014, The Institution of Engineering and Technology","Engineering Village"
"Localizing backscatters by a single robot with zero start-up cost","20500853","Shengkai Zhang (1); Wei Wang (1); Sheyang Tang (1); Shi Jin (2); Tao Jiang (1) ","(1) Huazhong University of Science and Technology, School of Electronic Information and Communications, China (2) Southeast University, School of Information Science and Engineering, China ","2019 IEEE Global Communications Conference (GLOBECOM)","","","IEEE","","","6 pp.","2019","English","","","978-1-7281-0962-6","10.1109/GLOBECOM38437.2019.9013768","GLOBECOM 2019 - 2019 IEEE Global Communications Conference","9-13 Dec. 2019","Waikoloa, HI, USA","","","Conference article (CA)","","Recent years have witnessed the rapid proliferation of low- power backscatter technologies that realize the ubiquitous and long-term connectivity to empower smart cities and smart homes. Localizing such low-power backscatter tags is crucial for IoT-based smart services. However, current backscatter localization systems require prior knowledge of the site, either a map or landmarks with known positions, increasing the deployment cost. To empower universal localization service, this paper presents Rover, an indoor localization system that simultaneously localizes multiple backscatter tags with zero start-up cost using a robot equipped with inertial sensors. Rover runs in a joint optimization framework, fusing WiFi-based positioning measurements with inertial measurements to simultaneously estimate the locations of both the robot and the connected tags. Our design addresses practical issues such as the interference among multiple tags and the real- time processing for solving the SLAM problem. We prototype Rover using off-the-shelf WiFi chips and customized backscatter tags. Our experiments show that Rover achieves localization accuracies of 39.3 cm for the robot and 74.6 cm for the tags.","16","backscatter - indoor radio - Internet of Things - radionavigation - SLAM (robots) - wireless LAN","low- power backscatter technologies - long-term connectivity - smart cities - smart homes - low-power backscatter tags - IoT-based smart services - current backscatter localization systems - deployment cost - universal localization service - indoor localization system - multiple backscatter tags - zero start-up cost - inertial sensors - joint optimization framework - WiFi-based positioning measurements - inertial measurements - connected tags - prototype Rover - localization accuracies - SLAM problem - WiFi chips","B6250 Radio links and equipment - B6330 Radionavigation and direction finding - B5210C Radiowave propagation - B6210L Computer communications - C5620L Local area networks","G01S - G01S5/02 - H04B7/00 - H04L12/28 - H04W - H04W84/18 - H04W84/12","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2021, The Institution of Engineering and Technology","Engineering Village"
"Relocalization With Submaps: Multi-Session Mapping for Planetary Rovers Equipped With Stereo Cameras","19387209","Giubilato, R. (1); Vayugundla, M. (1); Schuster, M.J. (1); Stuumlrzl, W. (1); Wedler, A. (2); Triebel, R. (1); Debei, S. (1) ","(1) University of Padova, CISAS ldquoGiuseppe Colombo', via Venezia 15, Italy (2) German Aerospace Center (DLR), Institute of Robotics and Mechatronics, Muumlnchener Str. 20, Germany ","IEEE Robotics and Automation Letters","IEEE Robot. Autom. Lett. (USA)","","IEEE","5","2","580-7","April 2020","English","2377-3774","","","10.1109/LRA.2020.2964157","","","","","USA","Journal article (JA)","","To enable long term exploration of extreme environments such as planetary surfaces, heterogeneous robotic teams need the ability to localize themselves on previously built maps. While the Localization and Mapping problem for single sessions can be efficiently solved with many state of the art solutions, place recognition in natural environments still poses great challenges for the perception system of a robotic agent. In this paper we propose a relocalization pipeline which exploits both 3D and visual information from stereo cameras to detect matches across local point clouds of multiple SLAM sessions. Our solution is based on a Bag of Binary Words scheme where binarized SHOT descriptors are enriched with visual cues to recall in a fast and efficient way previously visited places. The proposed relocalization scheme is validated on challenging datasets captured using a planetary rover prototype on Mount Etna, designated as a Moon analogue environment.","37","graph theory - mobile robots - multi-robot systems - path planning - planetary rovers - robot vision - SLAM (robots)","Binary Words scheme - binarized SHOT descriptors - visual cues - relocalization scheme - planetary rover prototype - Moon analogue environment - submaps - multisession Mapping - planetary rovers equipped - stereo cameras - long term exploration - extreme environments - planetary surfaces - heterogeneous robotic teams - built maps - single sessions - art solutions - place recognition - natural environments - perception system - robotic agent - relocalization pipeline - visual information - local point clouds - multiple SLAM sessions","B6135E Image recognition - B0250 Combinatorial mathematics - C3390C Mobile robots - C5260B Computer vision and image processing techniques - C3120C Spatial variables control - C1160 Combinatorial mathematics","G05D1/00 - G05D3/00 - G06T - B60W30/095 - B64G1/16","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2020, The Institution of Engineering and Technology","Engineering Village"
"Lidar-based system for high-precision localization and real-time 3D map construction","19847162","Guofeng Tong (1); Yong Li (1); Yuanyuan Li (1); Fan Gao (1); Lihao Cao (1) ","(1) Northeastern University, China ","Journal of Applied Remote Sensing","J. Appl. Remote Sens. (USA)","","SPIE","14","2","020501 (8 pp.)","April 2020","English","1931-3195","","","10.1117/1.JRS.14.020501","","","","JARSC4","USA","Journal article (JA)","","Simultaneous localization and mapping (SLAM) is considered as the core of building high-precision three-dimensional environmental maps. For this, we proposed a high-precision laser-based SLAM system. Aiming at the problem that the point cloud data obtained from laser is not representative and the iterative closest point method for calculating pose transformation is time-consuming, we proposed an efficient and stable matching algorithm. It uses fused feature points to align with the occupancy grid submaps with less registration error and is less time-consuming. Then, to address the problem in which the registration result falls into the local optimum early, we proposed a quadratic registration algorithm. This method effectively improves the initial value of the registration process. Finally, a time consistency and global consistency loop detection algorithm are used to reduce the cumulative error. The system we proposed has been tested on the University of Michigan North Campus Long-Term dataset and Cartographer dataset. Experiments show that our system has good accuracy under low-speed motion conditions (speeds ranging from 1 to 2 m / s).","18","cartography - image matching - image registration - iterative methods - optical radar - quadratic programming - SLAM (robots)","Michigan North Campus University - fused feature point - registration error - occupancy grid submaps - stable matching algorithm - calculating pose transformation - iterative closest point method - point cloud data - high-precision laser-based SLAM system - high-precision three-dimensional environmental maps - high-precision localization - lidar-based system - loop detection algorithm - registration process - quadratic registration algorithm","B6320C Optical radar - B0260 Optimisation techniques - B0290F Interpolation and function approximation (numerical analysis) - B6135E Image recognition - C7840 Geography and cartography computing - C1180 Optimisation techniques - C4130 Interpolation and function approximation (numerical analysis) - C5260B Computer vision and image processing techniques","G01S17/00 - G06T","Practical (PRA); Theoretical or Mathematical (THR); Experimental (EXP)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2020, The Institution of Engineering and Technology","Engineering Village"
"Lifelong localization in changing environments","14744624","Tipaldi, G.D. (1); Meyer-Delius, D. (2); Burgard, W. (1) ","(1) University of Freiburg, Department of Computer Science, Germany (2) KUKA Laboratories GmbH, Germany ","International Journal of Robotics Research","Int. J. Robot. Res. (UK)","","Sage Publications","32","14","1662-78","Dec. 2013","English","0278-3649","","","10.1177/0278364913502830","","","","IJRREL","UK","Journal article (JA)","","Robot localization systems typically assume that the environment is static, ignoring the dynamics inherent in most realworld settings. Corresponding scenarios include households, offices, warehouses and parking lots, where the location of certain objects such as goods, furniture or cars can change over time. These changes typically lead to inconsistent observations with respect to previously learned maps and thus decrease the localization accuracy or even prevent the robot from globally localizing itself. In this paper we present a soundprobabilistic approach to lifelong localization in changing environments using a combination ofa Rao-Blackwellizedparticlefilter with a hidden Markov model. By exploiting several properties of this model, we obtain a highly efficient map management approach for dynamic environments, which makes it feasible to run our algorithm online. Extensive experiments with a real robot in a dynamically changing environment demonstrate that our algorithm reliably adapts to changes in the environment and also outperforms the popular MonteCarlo localization approach.","39","mobile robots - Monte Carlo methods - particle filtering (numerical methods)","lifelong localization - changing environments - robot localization systems - realworld settings - learned maps - sound probabilistic approach - Rao-Blackwellized particle filter - hidden Markov model - dynamic environments - MonteCarlo localization approach - mobile robots","B6140B Filtering methods in signal processing - B0240G Monte Carlo methods - C3390C Mobile robots - C1140G Monte Carlo methods - C1260S Signal processing theory","G05D1/00","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2014, The Institution of Engineering and Technology","Engineering Village"
"Localization and navigation of the CoBots over long-term deployments","14744625","Biswas, J. (1); Veloso, M.M. (2) ","(1) Carnegie Mellon University, School of Computer Science, Pittsburgh, PA, United States (2) Carnegie Mellon University, Computer Science Department, Pittsburgh, PA, United States ","International Journal of Robotics Research","Int. J. Robot. Res. (UK)","","Sage Publications","32","14","1679-94","Dec. 2013","English","0278-3649","","","10.1177/0278364913503892","","","","IJRREL","UK","Journal article (JA)","","For the last three years, we have developed and researched multiple collaborative robots, CoBots, which have been autonomously traversing our multi-floor buildings. We pursue the goal of long-term autonomy for indoor service mobile robots as the ability for them to be deployed indefinitely while they perform tasks in an evolving environment. The CoBots include several levels of autonomy, and in this paper we focus on their localization and navigation algorithms. We present the Corrective Gradient Refinement (CGR) algorithm, which refines the proposal distribution of the particle filter used for localization with sensor observations using analytically computed state space derivatives on a vector map. We also present the Fast Sampling Plane Filtering algorithm that extracts planar regions from depth images in real time. These planar regions are then projected onto the 2D vector map of the building, and along with the laser rangefinder observations, used with CGR for localization. For navigation, we present a hierarchical planner, which computes a topological policy using a graph representation of the environment, computes motion commands based on the topological policy, and then modifies the motion commands to side-step perceived obstacles. We started logging the deployments of the CoBots one and a halfyears ago, and have since collected logs of the CoBots traversing more than 130 km over 1082 deployments and a total run time of 182 h, which we publish as a dataset consisting of more than 10 million laser scans. The logs show that although there have been continuous changes in the environment, the robots are robust to most of them, and there exist only afew locations where changes in the environment cause increased uncertainty in localization.","39","mobile robots - multi-robot systems - navigation - particle filtering (numerical methods) - path planning - service robots - topology","motion commands - graph representation - topological policy - hierarchical planner - laser rangefinder observations - 2D-vector map - fast sampling plane filtering algorithm - analytically computed state space derivatives - sensor observations - particle filter - CGR algorithm - corrective gradient refinement algorithm - navigation algorithms - localization algorithms - indoor service mobile robots - multifloor buildings - multiple collaborative robots - long-term deployments","C3390C Mobile robots - C1160 Combinatorial mathematics - C3120C Spatial variables control","G01C21/00 - G05D1/00 - G05D3/00 - B60W30/095","Practical (PRA)","Computers/Control engineering (C)","Inspec","Copyright 2014, The Institution of Engineering and Technology","Engineering Village"
"Appearance-Based Loop Closure Detection for Online Large-Scale and Long-Term Operation","13538816","Labbe, M. (1); Michaud, F. (1) ","(1) Universite de Sherbrooke, Department of Electrical and Computer Engineering, Sherbrooke, QC J1K 2R1, Canada ","IEEE Transactions on Robotics","IEEE Trans. Robot. (USA)","","IEEE","29","3","734-45","June 2013","English","1552-3098","","","10.1109/TRO.2013.2242375","","","","ITREAE","USA","Journal article (JA)","","In appearance-based localization and mapping, loop-closure detection is the process used to determinate if the current observation comes from a previously visited location or a new one. As the size of the internal map increases, so does the time required to compare new observations with all stored locations, eventually limiting online processing. This paper presents an online loop-closure detection approach for large-scale and long-term operation. The approach is based on a memory management method, which limits the number of locations used for loop-closure detection so that the computation time remains under real-time constraints. The idea consists of keeping the most recent and frequently observed locations in a working memory (WM) that is used for loop-closure detection, and transferring the others into a long-term memory (LTM). When a match is found between the current location and one stored in WM, associated locations that are stored in LTM can be updated and remembered for additional loop-closure detections. Results demonstrate the approach's adaptability and scalability using ten standard datasets from other appearance-based loop-closure approaches, one custom dataset using real images taken over a 2-km loop of our university campus, and one custom dataset (7 h) using virtual images from the racing video game “Need for Speed: Most Wanted”.","48","computer games - control engineering computing - Internet - mobile robots - robot vision - storage management","Need for Speed: Most Wanted - racing video game - virtual images - LTM - long-term memory - WM - working memory - real-time constraints - memory management method - appearance-based localization - online long-term operation - online large-scale operation - appearance-based loop closure detection","B6135 Optical, image and video signal processing - C3390C Mobile robots - C7420 Control engineering computing - C5260B Computer vision and image processing techniques","A63F13/00 - G05B15/00 - G05D1/00 - G06T","Practical (PRA)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2013, The Institution of Engineering and Technology","Engineering Village"
"Deep Samplable Observation Model for Global Localization and Kidnapping","20399324","Runjian Chen (1); Huan Yin (1); Yanmei Jiao (1); Dissanayake, G. (2); Yue Wang (1); Rong Xiong (1) ","(1) Zhejiang University, China (2) University of Technology Sydney, Center for Autonomous System, Ultimo, Sydney, NSW 2007, Australia ","IEEE Robotics and Automation Letters","IEEE Robot. Autom. Lett. (USA)","","IEEE","6","2","2296-303","April 2021","English","2377-3766","","","10.1109/LRA.2021.3061339","","","","IRALC6","USA","Journal article (JA)","","Global localization and kidnapping are two challenging problems in robot localization. The popular method, Monte Carlo Localization (MCL) addresses the problem by iteratively updating a set of particles with a “sampling-weighting” loop. Sampling is decisive to the performance of MCL [1]. However, traditional MCL can only sample from a uniform distribution over the state space. Although variants of MCL propose different sampling models, they fail to provide an accurate distribution or generalize across scenes. To better deal with these problems, we present a distribution proposal model named Deep Samplable Observation Model (DSOM). DSOM takes a map and a 2D laser scan as inputs and outputs a conditional multimodal probability distribution of the pose, making the samples more focusing on the regions with higher likelihood. With such samples, the convergence is expected to be more effective and efficient. Considering that the learning-based sampling model may fail to capture the accurate pose sometimes, we furthermore propose the Adaptive Mixture MCL (AdaM MCL), which deploys a trusty mechanism to adaptively select updating mode for each particle to tolerate this situation. Equipped with DSOM, AdaM MCL can achieve more accurate estimation, faster convergence and better scalability than previous methods in both synthetic and real scenes. Even in real environments with long-term changes, AdaM MCL is able to localize the robot using DSOM trained only by simulation observations from a SLAM map or a blueprint map. Source code for this paper is available here: https://github.com/Runjian-Chen/AdaM_MCL.","27","learning (artificial intelligence) - learning systems - mobile robots - Monte Carlo methods - probability - SLAM (robots)","robot localization - sampling-weighting loop - uniform distribution - accurate distribution - distribution proposal model - DSOM - 2D laser scan - conditional multimodal probability distribution - learning-based sampling - AdaM MCL - deep samplable observation model - global localization - adaptive mixture MCL - Monte Carlo localization - kidnapping - SLAM map - blueprint map - source code","C3390C Mobile robots - C1140G Monte Carlo methods - C1340E Self-adjusting control systems","G05B13/00 - G05D1/00 - G06N20/00","Practical (PRA); Theoretical or Mathematical (THR)","Computers/Control engineering (C)","Inspec","Copyright 2021, The Institution of Engineering and Technology","Engineering Village"
"A SLAM based on auxiliary marginalised particle filter and differential evolution","15062845","Havangi, R. (1); Nekoui, M.A. (1); Teshnehlab, M. (1); Taghirad, H.D. (1) ","(1) K.N. Toosi University of Technology, Department of Systems and Control, Iran ","International Journal of Systems Science","Int. J. Syst. Sci. (UK)","","Taylor & Francis","45","9","1913-26","2014","English","0020-7721","","","10.1080/00207721.2012.759299","","","","IJSYA9","UK","Journal article (JA)","","FastSLAM is a framework for simultaneous localisation and mapping (SLAM) using a Rao-Blackwellised particle filter. In FastSLAM, particle filter is used for the robot pose (position and orientation) estimation, and parametric filter (i.e. EKF and UKF) is used for the feature location's estimation. However, in the long term, FastSLAM is an inconsistent algorithm. In this paper, a new approach to SLAM based on hybrid auxiliary marginalised particle filter and differential evolution (DE) is proposed. In the proposed algorithm, the robot pose is estimated based on auxiliary marginal particle filter that operates directly on the marginal distribution, and hence avoids performing importance sampling on a space of growing dimension. In addition, static map is considered as a set of parameters that are learned using DE. Compared to other algorithms, the proposed algorithm can improve consistency for longer time periods and also, improve the estimation accuracy. Simulations and experimental results indicate that the proposed algorithm is effective.","29","evolutionary computation - Kalman filters - mobile robots - nonlinear filters - particle filtering (numerical methods) - pose estimation - robot vision - SLAM (robots)","simultaneous localisation-and-mapping - hybrid auxiliary marginalised particle filter - differential evolution - Rao-Blackwellised particle filter - robot pose estimation - position estimation - orientation estimation - parametric filter - EKF - UKF - feature location estimation - marginal distribution - static map - FastSLAM","B6135E Image recognition - B6140B Filtering methods in signal processing - B0260 Optimisation techniques - B0240G Monte Carlo methods - C3390C Mobile robots - C5260B Computer vision and image processing techniques - C1180 Optimisation techniques - C1140G Monte Carlo methods","G05D1/00 - G06K9/00 - G06T","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2015, The Institution of Engineering and Technology","Engineering Village"
"Dynamic map update of non-static facility logistics environment with a multi-robot system","17210977","Shaik, N. (1); Liebig, T. (1); Kirsch, C. (2); Müller, H. (1) ","(1) Tech. Univ. Dortmund, Germany (2) Fraunhofer Institute for Material Flow and Logistics, Germany ","KI 2017: Advances in Artificial Intelligence. 40th Annual German Conference on AI. Proceedings: LNAI 10505","","","Springer International Publishing","","","249-61","2017","English","","","978-3-319-67189-5","10.1007/978-3-319-67190-1_19","KI 2017: Advances in Artificial Intelligence. 40th Annual German Conference on AI","25-29 Sept. 2017","Dortmund, Germany","","","Conference article (CA)","","Autonomous robots need to perceive and represent their environments and act accordingly. Using simultaneous localization and mapping (SLAM) methods, robots can build maps of the environment which are efficient for localization and path planning as long as the environment remains unchanged. However, facility logistics environments are not static because pallets and other obstacles are stored temporarily. This paper proposes a novel solution for updating maps of changing environments (i.e. environments with low-dynamic or semi-static objects) in real-time with multiple robots. Each robot is equipped with a laser range sensor and runs localization to estimate its position. Each robot senses the change in the environment with respect to a current map, initially built with a SLAM method, and constructs a temporary map which will be merged into the current map using localization information and line features of the map. This procedure enables the creation of long-term mapping robot systems for facility logistics.","31","cartography - estimation theory - laser ranging - logistics - multi-robot systems - path planning - sensors - SLAM (robots)","dynamic map update - nonstatic facility logistics environment - mult-robot system - autonomous robots - simultaneous localization and mapping - SLAM methods - map building - path planning - facility logistics environments - multiple robots - laser range sensor - position estimation - long-term mapping robot systems","C3390 Robotics - C1140Z Other topics in statistics - C3120C Spatial variables control","G01C3/00 - G01S17/00 - G05D3/00 - B60W30/095","Practical (PRA); Theoretical or Mathematical (THR)","Computers/Control engineering (C)","Inspec","Copyright 2017, The Institution of Engineering and Technology","Engineering Village"
"Landmark rating and selection according to localization coverage: addressing the challenge of lifelong operation of SLAM in service robots","11010225","Hochdorfer, S. (1); Schlegel, C. (1) ","(1) University of Applied Sciences Ulm, Computer Science Department, Prittwitzstr. 10, Germany ","2009 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2009)","","","IEEE","","","382-7","2009","English","","","978-1-4244-3803-7","10.1109/IROS.2009.5354433","2009 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2009)","11-15 Oct. 2009","St. Louis, MO, USA","","","Conference article (CA)","","Acting in everyday-life environments is still a great challenge in service robotics. Although algorithms and solutions already exist for many relevant subproblems, in particular the aspect of robustness and suitability for everyday use has been neglected so far very often. Robustness and suitability for everyday use are features affecting not only the overall system design but have impact on each single algorithm of each component.","8","service robots","landmark rating - landmark selection - localization coverage - simultaneous localization and mapping - service robotics - P3DX-platform","C3390 Robotics","","Practical (PRA); Theoretical or Mathematical (THR)","Computers/Control engineering (C)","Inspec","Copyright 2010, The Institution of Engineering and Technology","Engineering Village"
"CD SLAM - Continuous localization and mapping in a dynamic world","12318120","Pirker, K. (1); Ruther, M. (1); Bischof, H. (1) ","(1) University of Technology, Institute for Computer Graphics and Vision, Austria ","2011 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2011)","","","IEEE","","","3990-7","2011","English","","","978-1-61284-454-1","10.1109/IROS.2011.6048253","2011 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2011)","25-30 Sept. 2011","San Francisco, CA, USA","","","Conference article (CA)","","When performing large-scale perpetual localization and mapping one faces problems like memory consumption or repetitive and dynamic scene elements requiring robust data association. We propose a visual SLAM method which handles short- and long-term scene dynamics in large environments using a single camera only. Through visibility-dependent map filtering and efficient keyframe organization we reach a considerable performance gain only through incorporation of a slightly more complex map representation. Experiments on a large, mixed indoor/outdoor dataset over a time period of two weeks demonstrate the scalability and robustness of our approach.","27","filtering theory - mobile robots - robot dynamics - robot vision - sensor fusion - SLAM (robots)","CD SLAM - continuous localization and mapping - perpetual localization and mapping - memory consumption - repetitive scene elements - dynamic scene elements - robust data association - visual SLAM method - visibility-dependent map filtering - keyframe organization - complex map representation - mobile robot","B6135 Optical, image and video signal processing - B6140B Filtering methods in signal processing - C3390C Mobile robots - C5260B Computer vision and image processing techniques - C6130 Data handling techniques","G05D1/00 - G06F7/00 - G06T","Practical (PRA)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2011, The Institution of Engineering and Technology","Engineering Village"
"Planning on topological map using omnidirectional images and spherical CNNs","21542474","Taniguchi, A. (1); Sasaki, F. (1); Muroi, M. (1); Yamashina, R. (1) ","(1) Ricoh Company, Ltd., Japan ","Advanced Robotics","Adv. Robot. (UK)","","Taylor & Francis","36","3","153-66","2022","English","1568-5535","","","10.1080/01691864.2021.1997641","","","","","UK","Journal article (JA)","","Map building and path planning are essential for long-term visual navigation. Methods, such as semi-parametric topological memory (SPTM), use deep learning to build a topological map consisting of nodes sampled from an agent's past observations and edges generated by a neural network (NN) and perform path planning on the map. Such methods require neither accurate sensor nor advanced expertise for map building needed in classical metric-map-based techniques such as visual simultaneous localization and mapping. However, they often plan improper paths including teleportations and detours, even if we have collected enough training data. In this paper, we propose a topological-map-based planning method that includes two modifications to SPTM to address this problem. The first modification is that we observe omnidirectional images and construct an NN on the basis of spherical convolutional NNs, which guarantee rotation invariance on omnidirectional images. The second modification is that we train the NN on a metric learning framework. We conducted experiments to show the effectiveness and applicability to real world of our method for path planning in visual navigation. The results indicate that the first modification prevents detouring and the second one prevents teleportations in path planning.","33","learning (artificial intelligence) - mobile robots - neural nets - path planning - robot vision - SLAM (robots) - topology","map building - path planning - long-term visual navigation - semiparametric topological memory - SPTM - topological map - NN - accurate sensor nor advanced expertise - classical metric-map-based techniques - visual simultaneous localization - improper paths - topological-map-based planning - omnidirectional images","B6135 Optical, image and video signal processing - C5260B Computer vision and image processing techniques - C1160 Combinatorial mathematics - C3120C Spatial variables control - C3390C Mobile robots","G05D1/00 - G05D3/00 - G06T - B60W30/095 - G06N20/00","Practical (PRA)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2022, The Institution of Engineering and Technology","Engineering Village"
"OpenRatSLAM: an open source brain-based SLAM system","13945211","Ball, D. (1); Heath, S. (2); Wiles, J. (2); Wyeth, G. (1); Corke, P. (1); Milford, M. (1) ","(1) Queensland University of Technology, School of Electrical Engineering and Computer Science, Brisbane, QLD, Australia (2) University of Queensland, School of Information Technology and Electrical Engineering, Brisbane, QLD, Australia ","Autonomous Robots","Auton. Robot. (Netherlands)","","Springer Netherlands","34","3","149-76","April 2013","English","0929-5593","","","10.1007/s10514-012-9317-9","","","","AUROF2","Netherlands","Journal article (JA)","","RatSLAM is a navigation system based on the neural processes underlying navigation in the rodent brain, capable of operating with low resolution monocular image data. Seminal experiments using RatSLAM include mapping an entire suburb with a web camera and a long term robot delivery trial. This paper describes OpenRatSLAM, an open-source version of RatSLAM with bindings to the Robot Operating System framework to leverage advantages such as robot and sensor abstraction, networking, data playback, and visualization. OpenRatSLAM comprises connected ROS nodes to represent RatSLAM's pose cells, experience map, and local view cells, as well as a fourth node that provides visual odometry estimates. The nodes are described with reference to the RatSLAM model and salient details of the ROS implementation such as topics, messages, parameters, class diagrams, sequence diagrams, and parameter tuning strategies. The performance of the system is demonstrated on three publicly available open-source datasets.","36","control engineering computing - data visualisation - distance measurement - image sensors - mobile robots - operating systems (computers) - path planning - public domain software - robot vision - SLAM (robots)","OpenRatSLAM - open source brain-based SLAM system - navigation system - neural processes - rodent brain - low resolution monocular image data - web camera - long term robot delivery trial - robot operating system framework - robot abstraction - sensor abstraction - networking - data playback - data visualization - experience map - local view cells - pose cells - visual odometry estimation - messages - parameters - class diagrams - sequence diagrams - parameter tuning strategies - open-source datasets - appearance-based simultaneous localization-and-mapping systems","B6135 Optical, image and video signal processing - B7230G Image sensors - B7320C Spatial variables measurement - C3390C Mobile robots - C7420 Control engineering computing - C6150J Operating systems - C6130B Graphics techniques - C5260B Computer vision and image processing techniques - C3120C Spatial variables control","G01B - G05B15/00 - G05D1/00 - G05D3/00 - G06F9/46 - G06T - H01L27/146 - H04N5/30 - B60W30/095","Practical (PRA); Theoretical or Mathematical (THR)","Electrical/Electronic engineering (B); Computers/Control engineering (C)","Inspec","Copyright 2013, The Institution of Engineering and Technology","Engineering Village"
