id	label	description	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	score<Journal impact factor>
127	mit sloan manage rev	<table><tr><td>Journal:</td><td>MIT SLOAN MANAGEMENT REVIEW</td></tr><tr><td>ISSN:</td><td>1532-9194</td></tr><tr></tr></table>	0.9249	0.246	2	43	86	76	0.849
128	reg sci urban econ	<table><tr><td>Journal:</td><td>REGIONAL SCIENCE AND URBAN ECONOMICS</td></tr><tr><td>ISSN:</td><td>0166-0462</td></tr><tr></tr></table>	-0.1803	-0.4085	1	33	47	76	0.885
129	rev econ dynam	<table><tr><td>Journal:</td><td>REVIEW OF ECONOMIC DYNAMICS</td></tr><tr><td>ISSN:</td><td>1094-2025</td></tr><tr></tr></table>	-0.9594	-0.4213	1	30	102	76	0.972
130	j dev stud	<table><tr><td>Journal:</td><td>JOURNAL OF DEVELOPMENT STUDIES</td></tr><tr><td>ISSN:</td><td>0022-0388</td></tr><tr></tr></table>	-0.587	-0.1221	1	11	20	75	0.686
131	land econ	<table><tr><td>Journal:</td><td>LAND ECONOMICS</td></tr><tr><td>ISSN:</td><td>0023-7639</td></tr><tr></tr></table>	-0.181	-0.3595	1	20	39	75	1.042
132	j consum psychol	<table><tr><td>Journal:</td><td>JOURNAL OF CONSUMER PSYCHOLOGY</td></tr><tr><td>ISSN:</td><td>1057-7408</td></tr><tr></tr></table>	0.5135	0.1125	4	15	42	74	1.72
133	corp gov-oxford	<table><tr><td>Journal:</td><td>CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW</td></tr><tr><td>ISSN:</td><td>0964-8410</td></tr><tr></tr></table>	-0.348	0.4897	5	50	101	74	1.59
134	fed reserve bank st	<table><tr><td>Journal:</td><td>FEDERAL RESERVE BANK OF ST LOUIS REVIEW</td></tr><tr><td>ISSN:</td><td>0014-9187</td></tr><tr></tr></table>	-0.6623	-0.2168	1	29	54	72	0.536
135	food policy	<table><tr><td>Journal:</td><td>FOOD POLICY</td></tr><tr><td>ISSN:</td><td>0306-9192</td></tr><tr></tr></table>	-0.0706	-0.0217	1	11	19	72	1.056
136	j bus finan account	<table><tr><td>Journal:</td><td>JOURNAL OF BUSINESS FINANCE & ACCOUNTING</td></tr><tr><td>ISSN:</td><td>0306-686X</td></tr><tr></tr></table>	-0.8137	0.719	5	35	95	72	0.692
137	j econ surv	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC SURVEYS</td></tr><tr><td>ISSN:</td><td>0950-0804</td></tr><tr></tr></table>	-0.5205	-0.1861	1	38	54	71	0.797
138	int bus rev	<table><tr><td>Journal:</td><td>INTERNATIONAL BUSINESS REVIEW</td></tr><tr><td>ISSN:</td><td>0969-5931</td></tr><tr></tr></table>	0.7145	0.5213	2	26	77	70	1.056
139	account org soc	<table><tr><td>Journal:</td><td>ACCOUNTING ORGANIZATIONS AND SOCIETY</td></tr><tr><td>ISSN:</td><td>0361-3682</td></tr><tr></tr></table>	-0.042	0.4485	2	33	52	69	1.032
140	small bus econ	<table><tr><td>Journal:</td><td>SMALL BUSINESS ECONOMICS</td></tr><tr><td>ISSN:</td><td>0921-898X</td></tr><tr></tr></table>	-0.0262	0.1934	1	28	60	69	1.168
141	int j ind organ	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION</td></tr><tr><td>ISSN:</td><td>0167-7187</td></tr><tr></tr></table>	-0.4154	-0.1292	1	22	31	69	0.464
142	math financ	<table><tr><td>Journal:</td><td>MATHEMATICAL FINANCE</td></tr><tr><td>ISSN:</td><td>0960-1627</td></tr><tr></tr></table>	-0.1937	-0.5989	1	6	12	68	0.984
143	math oper res	<table><tr><td>Journal:</td><td>MATHEMATICS OF OPERATIONS RESEARCH</td></tr><tr><td>ISSN:</td><td>0364-765X</td></tr><tr></tr></table>	0.3217	-0.7054	3	18	28	68	0.875
144	j law econ	<table><tr><td>Journal:</td><td>JOURNAL OF LAW & ECONOMICS</td></tr><tr><td>ISSN:</td><td>0022-2186</td></tr><tr></tr></table>	-0.7503	0.5	5	44	89	68	1.62
145	comput optim appl	<table><tr><td>Journal:</td><td>COMPUTATIONAL OPTIMIZATION AND APPLICATIONS</td></tr><tr><td>ISSN:</td><td>0926-6003</td></tr><tr></tr></table>	0.9471	-0.9476	3	10	31	67	0.851
146	contemp account res	<table><tr><td>Journal:</td><td>CONTEMPORARY ACCOUNTING RESEARCH</td></tr><tr><td>ISSN:</td><td>0823-9150</td></tr><tr></tr></table>	-1.0573	0.9564	5	20	91	66	1.219
147	econ dev cult change	<table><tr><td>Journal:</td><td>ECONOMIC DEVELOPMENT AND CULTURAL CHANGE</td></tr><tr><td>ISSN:</td><td>0013-0079</td></tr><tr></tr></table>	-0.6505	-0.1347	1	27	46	65	0.875
148	econ educ rev	<table><tr><td>Journal:</td><td>ECONOMICS OF EDUCATION REVIEW</td></tr><tr><td>ISSN:</td><td>0272-7757</td></tr><tr></tr></table>	-0.4673	-0.2169	1	18	38	64	0.557
149	j law econ organ	<table><tr><td>Journal:</td><td>JOURNAL OF LAW ECONOMICS & ORGANIZATION</td></tr><tr><td>ISSN:</td><td>8756-6222</td></tr><tr></tr></table>	-0.5844	-0.155	1	18	33	64	1.488
150	decision sci	<table><tr><td>Journal:</td><td>DECISION SCIENCES</td></tr><tr><td>ISSN:</td><td>0011-7315</td></tr><tr></tr></table>	1.0035	0.0546	3	47	108	63	1.435
151	j serv res-us	<table><tr><td>Journal:</td><td>JOURNAL OF SERVICE RESEARCH</td></tr><tr><td>ISSN:</td><td>1094-6705</td></tr><tr></tr></table>	0.8964	0.1235	4	33	90	63	1.14
152	camb j econ	<table><tr><td>Journal:</td><td>CAMBRIDGE JOURNAL OF ECONOMICS</td></tr><tr><td>ISSN:</td><td>0309-166X</td></tr><tr></tr></table>	-0.3481	0.1242	1	36	48	62	0.7
153	nav res log	<table><tr><td>Journal:</td><td>NAVAL RESEARCH LOGISTICS</td></tr><tr><td>ISSN:</td><td>0894-069X</td></tr><tr></tr></table>	0.9802	-0.7594	3	15	42	62	0.548
154	ieee t eng manage	<table><tr><td>Journal:</td><td>IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0018-9391</td></tr><tr></tr></table>	0.9517	0.0676	4	32	65	62	0.962
155	prod plan control	<table><tr><td>Journal:</td><td>PRODUCTION PLANNING & CONTROL</td></tr><tr><td>ISSN:</td><td>0953-7287</td></tr><tr></tr></table>	1.1031	-0.3347	3	24	52	62	0.561
156	econ geogr	<table><tr><td>Journal:</td><td>ECONOMIC GEOGRAPHY</td></tr><tr><td>ISSN:</td><td>0013-0095</td></tr><tr></tr></table>	-0.1216	0.0489	1	15	32	61	2.065
157	econ inq	<table><tr><td>Journal:</td><td>ECONOMIC INQUIRY</td></tr><tr><td>ISSN:</td><td>0095-2583</td></tr><tr></tr></table>	-0.5605	-0.2061	1	36	52	60	0.535
158	econ transit	<table><tr><td>Journal:</td><td>ECONOMICS OF TRANSITION</td></tr><tr><td>ISSN:</td><td>0967-0750</td></tr><tr></tr></table>	-0.5253	-0.0977	1	31	50	57	0.736
159	financ anal j	<table><tr><td>Journal:</td><td>FINANCIAL ANALYSTS JOURNAL</td></tr><tr><td>ISSN:</td><td>0015-198X</td></tr><tr></tr></table>	-0.3733	0.2022	5	24	31	57	0.72
160	oxford rev econ pol	<table><tr><td>Journal:</td><td>OXFORD REVIEW OF ECONOMIC POLICY</td></tr><tr><td>ISSN:</td><td>0266-903X</td></tr><tr></tr></table>	-0.638	0.229	1	41	60	56	0.552
161	j prod innovat manag	<table><tr><td>Journal:</td><td>JOURNAL OF PRODUCT INNOVATION MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0737-6782</td></tr><tr></tr></table>	0.7941	0.1079	2	37	67	54	1.585
162	organ res methods	<table><tr><td>Journal:</td><td>ORGANIZATIONAL RESEARCH METHODS</td></tr><tr><td>ISSN:</td><td>1094-4281</td></tr><tr></tr></table>	0.9757	0.7	2	16	28	53	2.548
163	calif manage rev	<table><tr><td>Journal:</td><td>CALIFORNIA MANAGEMENT REVIEW</td></tr><tr><td>ISSN:</td><td>0008-1256</td></tr><tr></tr></table>	0.7058	0.2861	2	37	65	53	0.945
164	int tax public finan	<table><tr><td>Journal:</td><td>INTERNATIONAL TAX AND PUBLIC FINANCE</td></tr><tr><td>ISSN:</td><td>0927-5940</td></tr><tr></tr></table>	-0.4651	-0.3163	1	15	26	53	0.757
165	qual reliab eng int	<table><tr><td>Journal:</td><td>QUALITY AND RELIABILITY ENGINEERING INTERNATIONAL</td></tr><tr><td>ISSN:</td><td>0748-8017</td></tr><tr></tr></table>	1.1984	-0.6841	3	8	22	52	0.5
166	transport res e-log	<table><tr><td>Journal:</td><td>TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW</td></tr><tr><td>ISSN:</td><td>1366-5545</td></tr><tr></tr></table>	0.7606	-0.5478	3	21	39	51	1
167	j econ hist	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC HISTORY</td></tr><tr><td>ISSN:</td><td>0022-0507</td></tr><tr></tr></table>	-0.5432	0.2006	1	34	58	50	1.015
168	j risk uncertainty	<table><tr><td>Journal:</td><td>JOURNAL OF RISK AND UNCERTAINTY</td></tr><tr><td>ISSN:</td><td>0895-5646</td></tr><tr></tr></table>	-0.2077	-0.3494	1	17	35	49	1.122
169	int j electron comm	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE</td></tr><tr><td>ISSN:</td><td>1086-4415</td></tr><tr></tr></table>	0.9602	-0.0682	4	17	43	49	1.186
170	j small bus manage	<table><tr><td>Journal:</td><td>JOURNAL OF SMALL BUSINESS MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0047-2778</td></tr><tr></tr></table>	0.5269	0.4075	2	32	60	47	0.703
171	labour econ	<table><tr><td>Journal:</td><td>LABOUR ECONOMICS</td></tr><tr><td>ISSN:</td><td>0927-5371</td></tr><tr></tr></table>	-0.686	-0.0388	1	25	37	47	0.671
172	scand j econ	<table><tr><td>Journal:</td><td>SCANDINAVIAN JOURNAL OF ECONOMICS</td></tr><tr><td>ISSN:</td><td>0347-0520</td></tr><tr></tr></table>	-0.8021	-0.2607	1	28	43	47	0.676
173	j comp econ	<table><tr><td>Journal:</td><td>JOURNAL OF COMPARATIVE ECONOMICS</td></tr><tr><td>ISSN:</td><td>0147-5967</td></tr><tr></tr></table>	-0.6658	-0.1145	1	19	37	46	0.691
174	int j res mark	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING</td></tr><tr><td>ISSN:</td><td>0167-8116</td></tr><tr></tr></table>	0.4251	-0.0719	4	26	49	45	1.071
175	j econ issues	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC ISSUES</td></tr><tr><td>ISSN:</td><td>0021-3624</td></tr><tr></tr></table>	-0.4139	0.1668	1	44	50	45	0.47
176	econ model	<table><tr><td>Journal:</td><td>ECONOMIC MODELLING</td></tr><tr><td>ISSN:</td><td>0264-9993</td></tr><tr></tr></table>	-0.7425	-0.3645	1	25	50	44	0.375
177	j ind econ	<table><tr><td>Journal:</td><td>JOURNAL OF INDUSTRIAL ECONOMICS</td></tr><tr><td>ISSN:</td><td>0022-1821</td></tr><tr></tr></table>	-0.2417	-0.1373	1	28	34	43	0.86
178	long range plann	<table><tr><td>Journal:</td><td>LONG RANGE PLANNING</td></tr><tr><td>ISSN:</td><td>0024-6301</td></tr><tr></tr></table>	0.8498	0.6175	2	21	34	43	1.667
179	world bank econ rev	<table><tr><td>Journal:</td><td>WORLD BANK ECONOMIC REVIEW</td></tr><tr><td>ISSN:</td><td>0258-6770</td></tr><tr></tr></table>	-0.8046	-0.1391	1	20	31	43	1.263
180	j retailing	<table><tr><td>Journal:</td><td>JOURNAL OF RETAILING</td></tr><tr><td>ISSN:</td><td>0022-4359</td></tr><tr></tr></table>	0.7942	0.0465	4	16	36	42	2.054
181	financ manage	<table><tr><td>Journal:</td><td>FINANCIAL MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0046-3892</td></tr><tr></tr></table>	-0.4211	0.7321	5	32	67	42	1
182	resour energy econ	<table><tr><td>Journal:</td><td>RESOURCE AND ENERGY ECONOMICS</td></tr><tr><td>ISSN:</td><td>0928-7655</td></tr><tr></tr></table>	-0.1176	-0.4786	1	17	25	41	1.05
183	j manage inquiry	<table><tr><td>Journal:</td><td>JOURNAL OF MANAGEMENT INQUIRY</td></tr><tr><td>ISSN:</td><td>1056-4926</td></tr><tr></tr></table>	0.5188	0.8381	2	19	37	40	1.338
184	j real estate financ	<table><tr><td>Journal:</td><td>JOURNAL OF REAL ESTATE FINANCE AND ECONOMICS</td></tr><tr><td>ISSN:</td><td>0895-5638</td></tr><tr></tr></table>	0.3594	-0.5257	3	19	22	40	0.372
185	j regul econ	<table><tr><td>Journal:</td><td>JOURNAL OF REGULATORY ECONOMICS</td></tr><tr><td>ISSN:</td><td>0922-680X</td></tr><tr></tr></table>	-0.4569	-0.2576	1	16	32	40	0.548
186	rev dev econ	<table><tr><td>Journal:</td><td>REVIEW OF DEVELOPMENT ECONOMICS</td></tr><tr><td>ISSN:</td><td>1363-6669</td></tr><tr></tr></table>	-0.6734	-0.1397	1	27	37	40	0.55
187	group organ manage	<table><tr><td>Journal:</td><td>GROUP & ORGANIZATION MANAGEMENT</td></tr><tr><td>ISSN:</td><td>1059-6011</td></tr><tr></tr></table>	0.9444	0.7568	2	12	22	39	0.787
188	hum resour manage-us	<table><tr><td>Journal:</td><td>HUMAN RESOURCE MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0090-4848</td></tr><tr></tr></table>	0.6427	0.6114	2	19	32	39	0.642
189	supply chain manag	<table><tr><td>Journal:</td><td>SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL</td></tr><tr><td>ISSN:</td><td>1359-8546</td></tr><tr></tr></table>	0.846	-0.1774	3	24	40	39	0.913
190	interfaces	<table><tr><td>Journal:</td><td>INTERFACES</td></tr><tr><td>ISSN:</td><td>0092-2102</td></tr><tr></tr></table>	1.1116	-0.7972	3	10	24	39	0.575
191	oxford econ pap	<table><tr><td>Journal:</td><td>OXFORD ECONOMIC PAPERS-NEW SERIES</td></tr><tr><td>ISSN:</td><td>0030-7653</td></tr><tr></tr></table>	-0.6029	0.0327	1	36	47	38	0.645
192	int small bus j	<table><tr><td>Journal:</td><td>INTERNATIONAL SMALL BUSINESS JOURNAL</td></tr><tr><td>ISSN:</td><td>0266-2426</td></tr><tr></tr></table>	0.6615	0.5312	2	22	43	38	1.25
193	j popul econ	<table><tr><td>Journal:</td><td>JOURNAL OF POPULATION ECONOMICS</td></tr><tr><td>ISSN:</td><td>0933-1433</td></tr><tr></tr></table>	-0.7684	-0.0425	1	15	26	38	0.487
194	j policy model	<table><tr><td>Journal:</td><td>JOURNAL OF POLICY MODELING</td></tr><tr><td>ISSN:</td><td>0161-8938</td></tr><tr></tr></table>	-0.6948	-0.2887	1	18	22	38	0.279
195	int j serv ind manag	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF SERVICE INDUSTRY MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0956-4233</td></tr><tr></tr></table>	0.8636	0.1005	4	15	30	38	0.804
196	auditing-j pract th	<table><tr><td>Journal:</td><td>AUDITING-A JOURNAL OF PRACTICE & THEORY</td></tr><tr><td>ISSN:</td><td>0278-0380</td></tr><tr></tr></table>	-1.0221	0.9565	5	11	39	38	0.71
197	total qual manag bus	<table><tr><td>Journal:</td><td>TOTAL QUALITY MANAGEMENT & BUSINESS EXCELLENCE</td></tr><tr><td>ISSN:</td><td>1478-3363</td></tr><tr></tr></table>	0.7027	0.0579	4	21	33	37	0.278
198	explor econ hist	<table><tr><td>Journal:</td><td>EXPLORATIONS IN ECONOMIC HISTORY</td></tr><tr><td>ISSN:</td><td>0014-4983</td></tr><tr></tr></table>	-0.5294	0.1965	1	33	57	37	0.667
199	j financ intermed	<table><tr><td>Journal:</td><td>JOURNAL OF FINANCIAL INTERMEDIATION</td></tr><tr><td>ISSN:</td><td>1042-9573</td></tr><tr></tr></table>	-0.8462	0.3758	5	18	51	35	0.805
200	j world bus	<table><tr><td>Journal:</td><td>JOURNAL OF WORLD BUSINESS</td></tr><tr><td>ISSN:</td><td>1090-9516</td></tr><tr></tr></table>	0.795	0.524	2	18	38	35	0.69
201	int j technol manage	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0267-5730</td></tr><tr></tr></table>	0.6321	0.3013	2	28	43	35	0.356
202	j econ growth	<table><tr><td>Journal:</td><td>JOURNAL OF ECONOMIC GROWTH</td></tr><tr><td>ISSN:</td><td>1381-4338</td></tr><tr></tr></table>	-0.8756	-0.1674	1	19	31	34	2.292
203	eur financ manag	<table><tr><td>Journal:</td><td>EUROPEA<N FINANCIAL MANAGEMENT</td></tr><tr><td>ISSN:</td><td>1354-7798</td></tr><tr></tr></table>	-0.7703	0.5757	5	18	35	34	0.717
204	bus ethics q	<table><tr><td>Journal:</td><td>BUSINESS ETHICS QUARTERLY</td></tr><tr><td>ISSN:</td><td>1052-150X</td></tr><tr></tr></table>	0.3496	0.6128	2	15	31	33	0.594
205	market lett	<table><tr><td>Journal:</td><td>MARKETING LETTERS</td></tr><tr><td>ISSN:</td><td>0923-0645</td></tr><tr></tr></table>	0.3334	-0.1028	4	20	43	33	0.672
206	stud nonlinear dyn e	<table><tr><td>Journal:</td><td>STUDIES IN NONLINEAR DYNAMICS AND ECONOMETRICS</td></tr><tr><td>ISSN:</td><td>1081-1826</td></tr><tr></tr></table>	-0.8324	-0.3482	1	15	21	33	0.593
207	nber macroecon ann	<table><tr><td>Journal:</td><td>NBER MACROECONOMICS ANNUAL</td></tr><tr><td>ISSN:</td><td>0889-3365</td></tr><tr></tr></table>	-1.0223	-0.377	1	19	51	33	0
208	or spectrum	<table><tr><td>Journal:</td><td>OR SPECTRUM</td></tr><tr><td>ISSN:</td><td>0171-6468</td></tr><tr></tr></table>	1.0307	-0.7587	3	11	27	32	0.562
209	r&d manage	<table><tr><td>Journal:</td><td>R & D MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0033-6807</td></tr><tr></tr></table>	0.3873	0.3229	2	27	55	32	0.597
210	j int marketing	<table><tr><td>Journal:</td><td>JOURNAL OF INTERNATIONAL MARKETING</td></tr><tr><td>ISSN:</td><td>1069-031X</td></tr><tr></tr></table>	0.8652	0.263	4	25	55	32	0.95
211	econ hist rev	<table><tr><td>Journal:</td><td>ECONOMIC HISTORY REVIEW</td></tr><tr><td>ISSN:</td><td>0013-0117</td></tr><tr></tr></table>	-0.4553	0.2142	1	30	38	32	1.171
212	exp econ	<table><tr><td>Journal:</td><td>EXPERIMENTAL ECONOMICS</td></tr><tr><td>ISSN:</td><td>1386-4157</td></tr><tr></tr></table>	-0.5396	-0.2858	1	12	23	32	1.128
213	res technol manage	<table><tr><td>Journal:</td><td>RESEARCH-TECHNOLOGY MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0895-6308</td></tr><tr></tr></table>	0.5417	0.2044	2	19	24	30	0.476
214	rev ind organ	<table><tr><td>Journal:</td><td>REVIEW OF INDUSTRIAL ORGANIZATION</td></tr><tr><td>ISSN:</td><td>0889-938X</td></tr><tr></tr></table>	-0.3556	-0.1234	1	21	25	29	0.411
215	j organ change manag	<table><tr><td>Journal:</td><td>JOURNAL OF ORGANIZATIONAL CHANGE MANAGEMENT</td></tr><tr><td>ISSN:</td><td>0953-4814</td></tr><tr></tr></table>	0.6277	0.8748	2	13	29	29	0.36
216	j agr econ	<table><tr><td>Journal:</td><td>JOURNAL OF AGRICULTURAL ECONOMICS</td></tr><tr><td>ISSN:</td><td>0021-857X</td></tr><tr></tr></table>	-0.2288	-0.1592	1	14	18	29	1
217	j forecasting	<table><tr><td>Journal:</td><td>JOURNAL OF FORECASTING</td></tr><tr><td>ISSN:</td><td>0277-6693</td></tr><tr></tr></table>	-0.5912	-0.3458	1	18	28	28	0.4
218	scot j polit econ	<table><tr><td>Journal:</td><td>SCOTTISH JOURNAL OF POLITICAL ECONOMY</td></tr><tr><td>ISSN:</td><td>0036-9292</td></tr><tr></tr></table>	-0.5677	0.1369	1	25	29	25	0.343
219	organ dyn	<table><tr><td>Journal:</td><td>ORGANIZATIONAL DYNAMICS</td></tr><tr><td>ISSN:</td><td>0090-2616</td></tr><tr></tr></table>	0.5844	0.6058	2	21	37	24	0.345
220	econ policy	<table><tr><td>Journal:</td><td>ECONOMIC POLICY</td></tr><tr><td>ISSN:</td><td>0266-4658</td></tr><tr></tr></table>	-0.619	0.0267	1	36	46	24	1.281
221	am j econ sociol	<table><tr><td>Journal:</td><td>AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY</td></tr><tr><td>ISSN:</td><td>0002-9246</td></tr><tr></tr></table>	-0.4776	0.1525	1	24	24	24	0.192
222	int market rev	<table><tr><td>Journal:</td><td>INTERNATIONAL MARKETING REVIEW</td></tr><tr><td>ISSN:</td><td>0265-1335</td></tr><tr></tr></table>	0.5184	0.2071	4	19	30	23	0.508
223	fisc stud	<table><tr><td>Journal:</td><td>FISCAL STUDIES</td></tr><tr><td>ISSN:</td><td>0143-5671</td></tr><tr></tr></table>	-0.4815	0.1466	1	25	29	23	0.439
224	economet rev	<table><tr><td>Journal:</td><td>ECONOMETRIC REVIEWS</td></tr><tr><td>ISSN:</td><td>0747-4938</td></tr><tr></tr></table>	-0.8201	-0.3436	1	17	37	23	0.711
225	int j manag rev	<table><tr><td>Journal:</td><td>INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS</td></tr><tr><td>ISSN:</td><td>1460-8545</td></tr><tr></tr></table>	0.6475	0.4347	2	23	32	23	1.5
226	bus hist	<table><tr><td>Journal:</td><td>BUSINESS HISTORY</td></tr><tr><td>ISSN:</td><td>0007-6791</td></tr><tr></tr></table>	-0.4753	0.2816	1	30	42	21	0.62
227	macroecon dyn	<table><tr><td>Journal:</td><td>MACROECONOMIC DYNAMICS</td></tr><tr><td>ISSN:</td><td>1365-1005</td></tr><tr></tr></table>	-0.9373	-0.4279	1	14	28	20	0.453
228	manch sch	<table><tr><td>Journal:</td><td>MANCHESTER SCHOOL</td></tr><tr><td>ISSN:</td><td>1463-6786</td></tr><tr></tr></table>	-0.6248	0.1061	1	27	31	20	0.153
229	new tech work employ	<table><tr><td>Journal:</td><td>NEW TECHNOLOGY WORK AND EMPLOYMENT</td></tr><tr><td>ISSN:</td><td>0268-1072</td></tr><tr></tr></table>	0.0086	0.5152	2	26	30	19	0.857
230	rev world econ	<table><tr><td>Journal:</td><td>REVIEW OF WORLD ECONOMICS</td></tr><tr><td>ISSN:</td><td>1610-2878</td></tr><tr></tr></table>	-0.7711	-0.2598	1	11	26	19	0.382
231	enterp soc	<table><tr><td>Journal:</td><td>ENTERPRISE & SOCIETY</td></tr><tr><td>ISSN:</td><td>1467-2227</td></tr><tr></tr></table>	-0.4794	0.2506	1	27	35	14	0.475
232	bus hist rev	<table><tr><td>Journal:</td><td>BUSINESS HISTORY REVIEW</td></tr><tr><td>ISSN:</td><td>0007-6805</td></tr><tr></tr></table>	-0.4779	0.2449	1	28	36	10	0.679
