type;id;title;author;year;doi;url;venue
journal;krajník-et-al:2017:2665664;{FreMEn}: Frequency map enhancement for long-term mobile robot autonomy in changing environments;Tomáš Krajník and Jaime Pulido Fentanes and João Machado Santos and Tom Duckett;2017;10.1109/TRO.2017.2665664;;IEEE Transactions on Robotics
conference;naseer-et-al:2015:7324181;Vision-based {M}arkov localization across large perceptual changes;Tayyab Naseer and Benjamin Suger and Michael Ruhnke and Wolfram Burgard;2015;10.1109/ECMR.2015.7324181;;2015 European Conference on Mobile Robots (ECMR)
conference;naseer-et-al:2017:7989305;Semantics-aware visual localization under challenging perceptual conditions;Tayyab Naseer and Gabriel L. Oliveira and Thomas Brox and Wolfram Burgard;2017;10.1109/ICRA.2017.7989305;;2017 IEEE International Conference on Robotics and Automation (ICRA)
conference;qin-et-al:2020:9340939;{AVP-SLAM}: Semantic visual mapping and localization for autonomous vehicles in the parking lot;Tong Qin and Tongqing Chen and Yilun Chen and Qing Su;2020;10.1109/IROS45743.2020.9340939;;2020 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
conference;taisho-kanji:2016:7866383;Mining DCNN landmarks for long-term visual {SLAM};Tsukamoto Taisho and Tanaka Kanji;2016;10.1109/ROBIO.2016.7866383;;2016 IEEE International Conference on Robotics and Biomimetics (ROBIO)
journal;zeng-si:2021:6;A brain-inspired compact cognitive mapping system;Taiping Zeng and Bailu Si;2021;10.1007/s11571-020-09621-6;;Cognitive Neurodynamics
journal;nguyen-et-al:2022:3094157;{VIRAL-Fusion}: A Visual-Inertial-Ranging-{L}idar Sensor Fusion Approach;Thien-Minh Nguyen and Muqing Cao and Shenghai Yuan and Yang Lyu and Thien Hoang Nguyen and Lihua Xie;2022;10.1109/TRO.2021.3094157;;IEEE Transactions on Robotics
journal;nguyen-et-al:2013:004;A spatio-temporal Long-term Memory approach for visual place recognition in mobile robotic navigation;Vu Anh Nguyen and Janusz A. Starzyk and Wooi-Boon Goh;2013;10.1016/j.robot.2012.12.004;;Robotics and Autonomous Systems
journal;ila-et-al:2017:0278364917691110;{SLAM}++ - A highly efficient and temporally scalable incremental {SLAM} framework;Viorela Ila and Lukas Polok and Marek Solony and Pavel Svoboda;2017;10.1177/0278364917691110;;International Journal of Robotics Research
journal;ali-et-al:2021:3100882;A Life-Long {SLAM} Approach Using Adaptable Local Maps Based on Rasterized {LIDAR} Images;Waqas Ali and Peilin Liu and Rendong Ying and Zheng Gong;2021;10.1109/JSEN.2021.3100882;;IEEE Sensors Journal
journal;churchill-newman:2013:0278364913499193;Experience-based navigation for long-term localisation;Winston Churchill and Paul Newman;2013;10.1177/0278364913499193;;International Journal of Robotics Research
conference;maddern-et-al:2012:6224622;Capping Computation Time and Storage Requirements for Appearance-based Localization with {CAT-SLAM};Will Maddern and Michael J. Milford and Gordon F. Wyeth;2012;10.1109/ICRA.2012.6224622;;2012 IEEE International Conference on Robotics and Automation (ICRA)
conference;ding-et-al:2019:8968550;Communication constrained cloud-based long-term visual localization in real time;Xiaqing Ding and Yue Wang and Li Tang and Huan Yin and Rong Xiong;2019;10.1109/IROS40897.2019.8968550;;2019 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
journal;ding-et-al:2020:2942760;Persistent Stereo Visual Localization on Cross-Modal Invariant Map;Xiaqing Ding and Yue Wang and Rong Xiong and Dongxuan Li and Li Tang and Huan Yin and Liang Zhao;2020;10.1109/TITS.2019.2942760;;IEEE Transactions on Intelligent Transportation Systems
journal;xu-et-al:2021:3060741;{DiSCO}: Differentiable Scan Context with Orientation;Xuecheng Xu and Huan Yin and Zexi Chen and Yuehua Li and Yue Wang and Rong Xiong;2021;10.1109/LRA.2021.3060741;;IEEE Robotics and Automation Letters
journal;bouaziz-et-al:2022:4;Map management for robust long-term visual localization of an autonomous shuttle in changing conditions;Youssef Bouaziz and Eric Royer and Guillaume Bresson and Michel Dhome;2022;10.1007/s11042-021-11870-4;;Multimedia Tools and Applications
conference;latif-et-al:2012:6385879;Realizing, reversing, recovering: Incremental robust loop closing over time using the i{RRR} algorithm;Yasir Latif and Cesar Cadena and José Neira;2012;10.1109/IROS.2012.6385879;;2012 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
journal;latif-et-al:2017:016;Sparse optimization for robust and efficient loop closing;Yasir Latif and Guoquan Huang and John J. Leonard and José Neira;2017;10.1016/j.robot.2017.03.016;;Robotics and Autonomous Systems
conference;song-et-al:2019:8967749;Learning Local Feature Descriptor with Motion Attribute For Vision-based Localization;Yafei Song and Di Zhu and Jia Li and Yonghong Tian and Mingyang Li;2019;10.1109/IROS40897.2019.8967749;;2019 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)
conference;yue-et-al:2020:9197072;Day and Night Collaborative Dynamic Mapping in Unstructured Environment Based on Multimodal Sensors;Yufeng Yue and Chule Yang and Jun Zhang and Mingxing Wen and Zhenyu Wu and Haoyuan Zhang and Danwei Wang;2020;10.1109/ICRA40945.2020.9197072;;2020 IEEE International Conference on Robotics and Automation (ICRA)
journal;chen-et-al:2018:2859916;Learning Context Flexible Attention Model for Long-Term Visual Place Recognition;Zetao Chen and Lingqiao Liu and Inkyu Sa and Zongyuan Ge and Margarita Chli;2018;10.1109/LRA.2018.2859916;;IEEE Robotics and Automation Letters
journal;hong-et-al:2022:02783649221080483;Radar{SLAM}: A robust simultaneous localization and mapping system for all weather conditions;Ziyang Hong and Yvan Petillot and Andrew Wallace and Sen Wang;2022;10.1177/02783649221080483;;International Journal of Robotics Research
journal;pan-et-al:2019:s19194252;Clustermap building and relocalization in urban environments for unmanned vehicles;Zhichen Pan and Haoyao Chen and Silin Li and Yunhui Liu;2019;10.3390/s19194252;;Sensors
conference;wang-et-al:2021:9739599;Pole-like Objects Mapping and Long-Term Robot Localization in Dynamic Urban Scenarios;Zhihao Wang and Silin Li and Ming Cao and Haoyao Chen and Yunhui Liu;2021;10.1109/ROBIO54168.2021.9739599;;2021 IEEE International Conference on Robotics and Biomimetics (ROBIO)
conference;xin-et-al:2017:8310121;Visual place recognition with {CNN}s: from global to partial;Zhe Xin and Xiaoguang Cui and Jixiang Zhang and Yiping Yang and Yanqing Wang;2017;10.1109/IPTA.2017.8310121;;2017 Seventh International Conference on Image Processing Theory, Tools and Applications (IPTA)
journal;xing-et-al:2022:22062;{DE-SLAM}: {SLAM} for highly dynamic environment;Zhiwei Xing and Xiaorui Zhu and Dingcheng Dong;2022;10.1002/rob.22062;;Journal of Field Robotics
journal;yang-et-al:2021:12054;{PLSAV}: Parallel loop searching and verifying for loop closure detection;Zhe Yang and Yun Pan and Lei Deng and Yuan Xie and Ruohong Huan;2021;10.1049/itr2.12054;;IET Intelligent Transport Systems
journal;du-et-al:2022:3028218;Accurate Dynamic {SLAM} Using {CRF}-Based Long-Term Consistency;Zheng-Jun Du and Shi-Sheng Huang and Tai-Jiang Mu and Qunhe Zhao and Ralph R. Martin and Kun Xu;2022;10.1109/TVCG.2020.3028218;;IEEE Transactions on Visualization and Computer Graphics
